==========================================================================================
조선 4사 분기별 추정 매출 (수주잔고 기반, S-curve)
처리: 469건 / 스킵: 40건
==========================================================================================
분기                HD마린엔진          HD미포         HD중공업          대한조선           삼성중          한화엔진          한화오션            합계
------------------------------------------------------------------------------------------
2024Q1              471        6,396       10,565            0       26,134        1,904       21,915       67,386
2024Q2              508        6,847       15,126            0       26,303        1,859       22,712       73,355
2024Q3              510        8,310       17,616            0       27,743        1,751       24,432       80,363
2024Q4              535        8,436       17,222            0       25,183        1,810       25,375       78,561
2025Q1              587        9,971       19,897            0       24,177        2,034       25,894       82,559
2025Q2              564       10,320       24,586            0       20,864        1,873       23,907       82,115
2025Q3              821       10,895       26,522            0       19,953        2,329       24,983       85,503
2025Q4              978       12,702       28,718           61       21,325        2,560       26,605       92,948
2026Q1            1,004       12,194       26,855          303       27,554        2,791       24,555       95,254
2026Q2            1,296       12,861       28,680          950       35,336        2,586       28,589      110,298
2026Q3            1,376       13,193       30,846        1,486       36,185        2,988       29,935      116,009
2026Q4            1,255       11,232       33,179        1,746       38,554        3,280       28,121      117,367
2027Q1            1,192        8,043       37,112        1,991       41,630        2,752       30,332      123,053
2027Q2            1,231        7,339       35,491        2,408       33,644        2,785       29,055      111,952
2027Q3              795        5,497       38,066        2,663       34,084        2,852       26,805      110,762
2027Q4              551        3,088       34,138        3,244       30,623        2,205       28,620      102,469
2028Q1              406        1,945       34,627        3,577       21,259        1,708       28,637       92,159
2028Q2              244        1,412       24,123        3,582       17,284        1,563       24,101       72,309
2028Q3              137          689       21,886        3,139       14,077        1,224       19,465       60,617
2028Q4               68          165       14,793        2,183        8,240          409       11,492       37,348
2029Q1               34           55        7,320        1,527        3,979          409        9,564       22,888
2029Q2               34            0        5,201          583        1,542          217        6,444       14,022
2029Q3               11            0        3,626          317        1,442            0        2,790        8,186
2029Q4                0            0          720            0          480            0        3,000        4,200
------------------------------------------------------------------------------------------
2024년계           2,025       29,989       60,529            0      105,363        7,324       94,435      299,666
2025년계           2,950       43,888       99,722           61       86,319        8,796      101,389      343,125
2026년계           4,930       49,480      119,560        4,485      137,628       11,645      111,200      438,929
2027년계           3,769       23,967      144,807       10,307      139,980       10,593      114,812      448,236
2028년계             855        4,210       95,428       12,481       60,859        4,903       83,694      262,432
2029년계              79           55       16,867        2,428        7,443          626       21,798       49,296
